,"Item","Description","Preferred Vendor","U/M","Albertsons Denver Price"
,"GMXCNT120-SS","810312-021217 / #21217 2XL-3XL-CROCHET NKLNE TUN",,"EACH (EA)",999.00
,"GMXDJ110-AY","810312-021453 / #21453 2XL-3XL-DENIM JEGGING",,"EACH (EA)",999.00
,"GMXDLST2000-FW","810312-021026 / #21026 2XL-3XL-DBLE LACE SLV TUN",,"EACH (EA)",999.00
,"GMXFBT1120-FW","810312-020722 / #20722 2XL-3XL-FLARE BOTTOM TUN",,"EACH (EA)",999.00
,"GMXFS10048-SS","810312-020470 / #20470 2XL-3XL-FASHION SUNDRESS",,"EACH (EA)",999.00
,"GMXHSLT110-SS","810312-020869 / #20869 2XL-3XL-HALF SLV LACE TUN",,"EACH (EA)",999.00
,"GMXLTST200-FW","810312-021019 / #21019 2XL-3XL-LACE TRIM SLV TUN",,"EACH (EA)",999.00
,"GMXOSLT1100-FW","810312-020746 / #20746 2XL-3XL-OPEN SLV LACE TUNIC",,"EACH (EA)",999.00
,"GMXPHT1000-FW","810312-023259 / #23259 2XL-3XL-PRINT HNKCHEF HEM TUN",,"EACH (EA)",999.00
,"GMXPKT1000-FW","810312-023273 / #23273 2XL-3XL-PLUSH KNIT TUNIC",,"EACH (EA)",999.00
,"GMXPPP130-SS","810312-020890 / #20890 2XL-3XL-PRINT PALAZO PNTS",,"EACH (EA)",999.00
,"GMXPPST220-FW","810312-022672 / #22672 2XL-3XL-PRINT PKT SWG TUN",,"EACH (EA)",999.00
,"GMXPST110-SS","810312-020883 / #20883 2XL-3XL-PINWHEEL SLV TUNIC",,"EACH (EA)",999.00
,"GMXRST1010-SS","810312-020876 / #20876 2XL-3XL-RUFFLE SLV TUNIC",,"EACH (EA)",999.00
,"GMXSPPT200-SS","810312-023471 / #23471 2XL-3XL SLVELESS PRINT PKT TUN",,"EACH (EA)",999.00
,"GMXSPST220-FW","810312-022689 / #22689 2XL-3XL-SOLID PKT SWG TUN",,"EACH (EA)",999.00
,"GMXTST120-SS","810312-021200 / #21200 2XL-3XL-TIE SLEEVE TUNIC",,"EACH (EA)",999.00
,"GMXWPP200-FW","810312-020920 / #20920 2XL-3XL-WINTR PALAZO PANT",,"EACH (EA)",999.00
,"GMXWTS106-AY","810312-021484 / #21484 2XL-GILDAN 5000-SHORT SL WHITE",,"EACH (EA)",999.00
,"GMXWTS107-AY","810312-021491 / #21491 3XL-GILDAN 5000-SHORT SL WHITE",,"EACH (EA)",999.00
,"GMXWTS130-AY","810312-021224 / #21224 2XL-GILDAN 5400-LONG SL WHITE",,"EACH (EA)",999.00
,"GMYP100-AY","810312-021569 / #21569 YOGA PANTS",,"EACH (EA)",999.00
,"LIBDCL201-AY","810312-024461 / #24461 BUBBLE SLEEVE DUSTER (PW6154)",,"EACH (EA)",999.00
,"LIBDCL202-AY","810312-024454 / #24454 COTTON LEGGINGS (PW6154)",,"EACH (EA)",999.00
,"LIBFST101-FW","810312-020548 / #20548 BELL SLEEVE TUNIC (T8548)",,"EACH (EA)",999.00
,"LIBFST102-FW","810312-020685 / #20685 FLARE BOTTOM TUNIC (T8548)",,"EACH (EA)",999.00
,"LIBSD101-AY","810312-023426 / #23426 BUBBLE SLEEVE DUSTER (PWP)",,"EACH (EA)",999.00
,"LIBSSL101-AY","810312-024164 / #24164 BLACK SUPER SOFT LEGGINGS - S-2XL (L6471)",,"EACH (EA)",999.00
,"LIBSSL102-AY","810312-024171 / #24171 BLACK SUPER SOFT LEGGINGS - 2XL-3XL (L6471)",,"EACH (EA)",999.00
,"LIBST201-FW","810312-021248 / #21248 BUTTON SLEEVE TUNIC S-M (T4865)",,"EACH (EA)",999.00
,"LIBST202-FW","810312-022665 / #22665 BUTTON SLEEVE TUNIC L-XL (T4865)",,"EACH (EA)",999.00
,"LIBST301-FW","810312-021248 / #21248 BUTTON SLEEVE TUNIC S-XL (T4875)",,"EACH (EA)",999.00
