Item,Description,Preferred Vendor,U/M,Albertsons Intermountain Price,upc,style,display size,season
GMSCYP100-AY,810312-023501 / #23501 SOLID COTTON YOGA PANTS,,EACH (EA),8,8.10312E+11,Solid,Carded,AY
GMSFL1010-FW,810312-020456 / #20456 SEAMLESS FLEECE LEGGINGS,,EACH (EA),3.75,8.10312E+11,Solid,Carded,FW
GMSFTL100-FW,810312-024072 / #24072 SEAMLESS FRENCH TERRY LEGGINGS,,EACH (EA),999,8.10312E+11,Solid,Carded,FW
GMSH10000-SS,094088-102022 / #02022 SUMMER SHEER SCARF,,EACH (EA),999,94088102022,#N/A,#N/A,#N/A
GMSH10020-AY,810312-020524 / #20524 EXTENDABLE SHOEHORN,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMSL120-AY,810312-021170 / #21170 SPORT LEGGING,,EACH (EA),5.5,8.10312E+11,Solid,Carded,AY
GMSLT100-SS,810312-020791 / #20791 SLEEVELESS LACE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMSLT1000-SS,810312-020609 / #20609 SOLID LACE TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMSMS100-SS,810312-022214 / #22214 SLIT MAXI SKIRT,,EACH (EA),7,8.10312E+11,Printed,Long Hanging Dress,SS
GMSP200-AY,810312-021941 / #21941 SCRUB PANTS - BLACK,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMSP205-AY,810312-022023 / #22023 SCRUB PANTS - GRAY,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMSP210-AY,810312-022061 / #22061 SCRUB PANTS - ROYAL BLUE,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMSP215-AY,810312-022108 / #22108 SCRUB PANTS - CEIL BLUE,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMSP220-AY,810312-021989 / #21989 SCRUB PANTS - NAVY,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMSPP110-FW,810312-020340 / #20340 SUPER PLUSH PANTS,,EACH (EA),6,8.10312E+11,Printed,Long Hanging Pants,FW
GMSPP120-SS,810312-021132 / #21132 SOLID PALAZZO PANTS,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Pants,SS
GMSPPT100-SS,810312-022269 / #22269 SLVELESS PRINT POCKET TUN,,EACH (EA),7,8.10312E+11,Printed,Long Hanging Top,SS
GMSS18000-AY,810312-021736 / #21736 GILDAN 18000-SWEATSHIRT WT-(L),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMSSH100-AY,810312-023884 / #23884 SUPER SOFT HOODIE,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,AY
GMSSL1010-AY,810312-020463 / #20463 PRINT SUPER SOFT LEGGING,,EACH (EA),3.75,8.10312E+11,Printed,Carded,AY
GMSSL1020-AY,810312-020654 / #20654 SOLID SUPER SOFT LEGGING,,EACH (EA),3.75,8.10312E+11,Solid,Carded,AY
GMSSL1025-AY,810312-021682 / #21682 BLACK-SUPER SOFT LEGGING,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMSSL1030-SS,810312-020913 / #20913 SOLID SUP SOFT LEGG-BRITE,,EACH (EA),999,8.10312E+11,Solid,Carded,SS
GMSSL1040-AY,810312-020951 / #20951 JR SUP SOFT LEGGING -PRNT,,EACH (EA),999,8.10312E+11,Printed,Carded,AY
GMSSL1050-FW,810312-025109 / #25109 CHRISTMAS SUP SOFT LEGGING,,EACH (EA),999,8.10312E+11,Printed,Carded,FW
GMSSL1060-AY,810312-022306 / #22306 L-2XL PRINT SUP SOFT LEGGING,,EACH (EA),999,8.10312E+11,Printed,Carded,AY
GMSSLST100-AY,810312-023761 / #23761 SUPER SOFT LONG SLEEVE TEE,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMSSPP-FW,810312-021316 / #21316 SUPER SOFT PAJAMA PANTS,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMSSPT200-SS,810312-023440 / #23440 SOLID SHORT SLV PKT TUNIC,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Top,SS
GMSST100-SS,810312-021415 / #21415 SPLIT SLEEVE TUNIC,,EACH (EA),7,8.10312E+11,Printed,Long Hanging Top,SS
GMST100-AY,810312-021743 / #21743 SCRUB TOP - BLACK,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMST105-AY,810312-021828 / #21828 SCRUB TOP - GRAY,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMST110-AY,810312-021866 / #21866 SCRUB TOP - ROYAL BLUE,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMST115-AY,810312-021903 / #21903 SCRUB TOP - CEIL BLUE,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMST120-AY,810312-021781 / #21781 SCRUB TOP - NAVY,,EACH (EA),999,8.10312E+11,Solid,Carded,AY
GMSWKT100-FW,810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC,,EACH (EA),8.5,8.10312E+11,Solid,Long Hanging Top,FW
GMTFK100-SS,810312-022221 / #22221 TIE FRONT KIMONO,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Top,SS
GMTFL100-FW,810312-021668 / #21668 TEXTURED FLEECE LEGGINGS,,EACH (EA),3.75,8.10312E+11,Solid,Carded,FW
GMTK100-AY,810312-021576 / #21576 TIDY KEYS (24/CS),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMTK105-AY,810312-021576 / #21576 TIDY KEYS (48/CS),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMTS1000-FW,810312-020265 / #20265 THE SCAPE (SCARF + CAPE),,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMTST100-SS,810312-021156 / #21156 TIE SLEEVE TUNIC,,EACH (EA),7,8.10312E+11,Printed,Long Hanging Top,SS
GMTST200-SS,810312-022207 / #22207 TULIP SLEEVE TUNIC,,EACH (EA),999,8.10312E+11,#N/A,#N/A,#N/A
GMTTBD100-SS,810312-023112 / #23112 TASSEL TIE BACK MAXI DRESS,,EACH (EA),999,8.10312E+11,Printed,Long Hanging Dress,SS
GMTWMD100-SS,810312-022153 / #22153 TIE WAIST MAXI DRESS,,EACH (EA),999,8.10312E+11,Solid,Long Hanging Dress,SS
