,"On Hand","U/M","Avg Cost","Asset Value","% of Tot Asset","Sales Price","Retail Value","% of Tot Retail"
"GMSSL1050-FW (810312-025109 / #25109 CHRISTMAS SUP SOFT LEGGING)",48,"EA",1.56,75.05,0%,999.00,47952.00,0%
"GMSSL1060-AY (810312-022306 / #22306 L-2XL PRINT SUP SOFT LEGGING)",0,"EA",1.72,0.00,0%,999.00,0.00,0%
"GMSSLST100-AY (810312-023761 / #23761 SUPER SOFT LONG SLEEVE TEE)",50064,"EA",3.36,167973.79,1.2%,999.00,50013936.00,1%
"GMSSPP-FW (810312-021316 / #21316 SUPER SOFT PAJAMA PANTS)",0,"EA",0.00,0.00,0%,999.00,0.00,0%
"GMSSPT200-SS (810312-023440 / #23440 SOLID SHORT SLV PKT TUNIC)",2344,"EA",4.40,10319.09,0.1%,999.00,2341656.00,0%
"GMSST100-SS (810312-021415 / #21415 SPLIT SLEEVE TUNIC)",4244,"EA",3.31,14038.80,0.1%,999.00,4239756.00,0.1%
"GMST100-AY (810312-021743 / #21743 SCRUB TOP - BLACK)",0,"EA",3.66,0.00,0%,999.00,0.00,0%
"GMST105-AY (810312-021828 / #21828 SCRUB TOP - GRAY)",0,"EA",3.70,0.00,0%,999.00,0.00,0%
"GMST110-AY (810312-021866 / #21866 SCRUB TOP - ROYAL BLUE)",0,"EA",3.68,0.00,0%,999.00,0.00,0%
"GMST115-AY (810312-021903 / #21903 SCRUB TOP - CEIL BLUE)",0,"EA",3.67,0.00,0%,999.00,0.00,0%
"GMST120-AY (810312-021781 / #21781 SCRUB TOP - NAVY)",0,"EA",4.50,0.00,0%,999.00,0.00,0%
"GMSWKT100-FW (810312-023228 / #23228 SOLID WAFFLE KNIT TUNIC)",34164,"EA",5.61,191638.00,1.3%,999.00,34129836.00,0.7%
"GMTFK100-SS (810312-022221 / #22221 TIE FRONT KIMONO)",8172,"EA",3.70,30201.14,0.2%,999.00,8163828.00,0.2%
"GMTFL100-FW (810312-021668 / #21668 TEXTURED FLEECE LEGGINGS)",0,"EA",1.89,0.00,0%,999.00,0.00,0%
"GMTFL200-FW (810312-023914 / #23914 TEXTURED FLEECE LEGGINGS)",5424,"EA",2.00,10848.00,0.1%,999.00,5418576.00,0.1%
"GMTK100-AY (810312-021576 / #21576 TIDY KEYS (24/CS))",2872,"EA",4.45,12775.40,0.1%,999.00,2869128.00,0.1%
"GMTK105-AY (810312-021576 / #21576 TIDY KEYS (48/CS))",1858,"EA",4.45,8268.23,0.1%,999.00,1856142.00,0%
"GMTST100-SS (810312-021156 / #21156 TIE SLEEVE TUNIC)",1692,"EA",2.83,4784.71,0%,999.00,1690308.00,0%
"GMTST200-SS (810312-022207 / #22207 TULIP SLEEVE TUNIC)",0,"EA",0.00,0.00,0%,999.00,0.00,0%
"GMTTBD100-SS (810312-023112 / #23112 TASSEL TIE BACK MAXI DRESS)",0,"EA",3.58,0.00,0%,999.00,0.00,0%
"GMTWMD100-SS (810312-022153 / #22153 TIE WAIST MAXI DRESS)",973,"EA",5.35,5207.81,0%,999.00,972027.00,0%
"GMTWMD200-SS (810312-024270 / #24270 TIE WAIST MAXI DRESS)",54360,"EA",5.58,303251.27,2.1%,999.00,54305640.00,1%
"GMTXT100-AY (810312-021507 / #21507 TX TUMBLER - 20 OZ (24/CS))",624,"EA",4.55,2841.36,0%,999.00,623376.00,0%
"GMTXT110-AY (810312-021514 / #21514 TX TUMBLER - 30 OZ (24/CS))",24,"EA",4.96,118.87,0%,999.00,23976.00,0%
"GMUHTS100-FW (810312-024782 / #24782 UNISEX HALLOWEEN T-SHIRTS)",16632,"EA",4.12,68604.34,0.5%,999.00,16615368.00,0.3%
"GMUSL1000-FW (810312-020999 / #20999 ULTRA STRETCH LEGGING)",432,"EA",2.50,1081.93,0%,999.00,431568.00,0%
"GMWPP100-FW (810312-020777 / #20777 WINTER PALAZZO PANTS)",252,"EA",2.31,582.06,0%,999.00,251748.00,0%
"GMWT100-AY (810312-021521 / #21521 WINE TUMBLR  12 OZ -GLOSS)",108,"EA",3.08,332.64,0%,999.00,107892.00,0%
"GMWT110-AY (810312-021538 / #21538 WINE TUMBLR  12 OZ-MTALIC)",7272,"EA",2.84,20651.93,0.1%,999.00,7264728.00,0.1%
"GMWTS110-AY (810312-021361 / #21361 GILDAN 5400-LONG SL WHITE-(MD))",216,"EA",2.45,529.20,0%,999.00,215784.00,0%
"GMWTS115-AY (810312-021378 / #21378 GILDAN 5400-LONG SL WHITE-(LG))",216,"EA",2.52,544.32,0%,999.00,215784.00,0%
"GMWTS120-AY (810312-021385 / #21385 GILDAN 5400-LONG SL WHITE-(XL))",144,"EA",2.27,326.16,0%,999.00,143856.00,0%
"GMXBST1100-FW (810312-020715 / #20715 2XL-3XL-BELL SLV TUNIC)",0,"EA",3.35,0.00,0%,999.00,0.00,0%
"GMXBST3100-FW (810312-021675 / #21675 2XL-3XL-BUTTON SLV TUNIC)",72,"EA",3.55,256.01,0%,999.00,71928.00,0%
"GMXCNT120-SS (810312-021217 / #21217 2XL-3XL-CROCHET NKLNE TUN)",0,"EA",3.46,0.00,0%,999.00,0.00,0%
"GMXDJ110-AY (810312-021453 / #21453 2XL-3XL-DENIM JEGGING)",493,"EA",5.40,2662.32,0%,999.00,492507.00,0%
"GMXDLST2000-FW (810312-021026 / #21026 2XL-3XL-DBLE LACE SLV TUN)",720,"EA",4.12,2963.29,0%,999.00,719280.00,0%
"GMXFBT1120-FW (810312-020722 / #20722 2XL-3XL-FLARE BOTTOM TUN)",0,"EA",3.06,0.00,0%,999.00,0.00,0%
"GMXFS10048-SS (810312-020470 / #20470 2XL-3XL-FASHION SUNDRESS)",144,"EA",2.62,378.58,0%,999.00,143856.00,0%
"GMXHSLT110-SS (810312-020869 / #20869 2XL-3XL-HALF SLV LACE TUN)",0,"EA",3.10,0.00,0%,999.00,0.00,0%
"GMXLTST200-FW (810312-021019 / #21019 2XL-3XL-LACE TRIM SLV TUN)",360,"EA",3.30,1188.63,0%,999.00,359640.00,0%
"GMXOSLT1100-FW (810312-020746 / #20746 2XL-3XL-OPEN SLV LACE TUNIC)",216,"EA",4.13,892.79,0%,999.00,215784.00,0%
"GMXPHT1000-FW (810312-023259 / #23259 2XL-3XL-PRINT HNKCHEF HEM TUN)",720,"EA",5.41,3897.72,0%,999.00,719280.00,0%
"GMXPKT1000-FW (810312-023273 / #23273 2XL-3XL-PLUSH KNIT TUNIC)",612,"EA",6.19,3786.08,0%,999.00,611388.00,0%
"GMXPPP130-SS (810312-020890 / #20890 2XL-3XL-PRINT PALAZO PNTS)",0,"EA",2.46,0.00,0%,999.00,0.00,0%
"GMXPPST220-FW (810312-022672 / #22672 2XL-3XL-PRINT PKT SWG TUN)",0,"EA",4.02,0.00,0%,999.00,0.00,0%
"GMXPST110-SS (810312-020883 / #20883 2XL-3XL-PINWHEEL SLV TUNIC)",0,"EA",2.99,0.00,0%,999.00,0.00,0%
"GMXRST1010-SS (810312-020876 / #20876 2XL-3XL-RUFFLE SLV TUNIC)",0,"EA",3.42,0.00,0%,999.00,0.00,0%
"GMXSPPT200-SS (810312-023471 / #23471 2XL-3XL SLVELESS PRINT PKT TUN)",0,"EA",3.85,0.00,0%,999.00,0.00,0%
"GMXSPST220-FW (810312-022689 / #22689 2XL-3XL-SOLID PKT SWG TUN)",648,"EA",4.66,3018.03,0%,999.00,647352.00,0%
